cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,time_rel_min,n_cells,ridge_peak_um_p25,ridge_peak_um_p50,ridge_peak_um_p75,ridge_mean_um_p25,ridge_mean_um_p50,ridge_mean_um_p75,total_nf_l_p25,total_nf_l_p50,total_nf_l_p75
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.833,3,258.4291780002502,470.2078306835759,470.2078306835759,252.7858662181298,464.6025834243205,464.6025834243205,173.9866000123444,194.98852109332296,194.98852109332296
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.0,3,264.49190475951144,470.2078306835759,470.2078306835759,253.5592623296907,464.88953540383704,464.88953540383704,159.48273466494925,176.43562494567692,176.43562494567692
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.167,3,264.49190475951144,470.2078306835759,470.2078306835759,254.84148618202883,465.00958630988754,465.00958630988754,149.8853339426743,161.3176626564845,161.3176626564845
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.333,3,264.49190475951144,470.2078306835759,470.2078306835759,256.07578202372997,465.34087188389077,465.34087188389077,141.16239270752175,147.72597821858417,147.72597821858417
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.5,3,264.49190475951144,470.2078306835759,470.2078306835759,257.4292390380439,466.08466795441444,466.08466795441444,136.01399519370136,141.0532228096369,141.0532228096369
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.667,3,264.49190475951144,470.2078306835759,470.2078306835759,258.7519035053976,466.8430049214869,466.8430049214869,134.2018594117431,140.89320091053503,140.89320091053503
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,3.833,3,264.49190475951144,470.2078306835759,470.2078306835759,260.0265871580083,467.3637757819944,467.3637757819944,130.7129207269851,140.86933366895497,140.86933366895497
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.0,3,264.49190475951144,470.2078306835759,470.2078306835759,261.42330555071777,468.0359437447833,468.0359437447833,132.23765371060793,154.79518578393765,154.79518578393765
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.167,2,161.63394179747922,264.49190475951144,367.34986772154366,159.90693857423003,262.7629359625064,365.6189333507827,124.76539285869002,142.27158489688674,159.77777693508347
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.333,2,161.63394179747922,264.49190475951144,367.34986772154366,161.63932726569624,263.99629112418734,366.3532549826784,128.21902809035362,153.69835716424097,179.17768623812833
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.5,2,161.63394179747922,264.49190475951144,367.34986772154366,163.2176262234223,265.10129055548856,366.98495488755486,132.9331297340579,171.09575352129414,209.25837730853038
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.667,2,161.63394179747922,264.49190475951144,367.34986772154366,164.5372020548743,265.9632071217826,367.3892121886909,130.2574605473509,170.92913323845923,211.60080592956757
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,4.833,2,173.0917773931104,272.1304618232656,371.1691462534207,165.66289996312832,266.64593286268405,367.6289657622397,123.9494699991642,159.91025742339008,195.87104484761593
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.0,2,173.0917773931104,272.1304618232656,371.1691462534207,166.6840381643947,267.2694407651027,367.85484336581067,115.4662513371529,150.19518978997513,184.9241282427974
