cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,station_idx,window_start,window_end,phase_rate,process_label,mean_rate_diff,positive_fraction
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Immersion Freezing (liq),0.0021993024453024535,1.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Melting (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Riming (liq),-63.782308815429744,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Aggregation (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Contact Freezing (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Deposition (ice),0.00030136607120890353,1.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Melting (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Riming (ice),-3.550614841620248e-06,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Breakup (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Condensation (liq),-7300.608740062162,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Collision (liq),1.728173298350157,0.9999946861790566
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Ins Collision (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Homogeneous Freezing (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Immersion Freezing (liq),9.183252264617766e-06,5.313820943320051e-06
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Melting (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Riming (liq),-4.3417516344565374,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Aggregation (ice),0.0,0.0
